ensembl_transcript_id	refseq_id
ENST00000448943	NM_057179
ENST00000458174	NM_001145728
ENST00000341349	NM_006647
ENST00000341349	NM_001256067
ENST00000520262	NM_001257180
ENST00000646743	NM_024915
ENST00000646743	NM_001330593
ENST00000612363	NM_001271893
ENST00000282268	NM_022550
ENST00000282268	NM_003401
ENST00000445693	NM_001145727
ENST00000237858	NM_001243659
ENST00000237858	NM_001118890
ENST00000325974	NM_015622
ENST00000545676	NM_001271805
ENST00000520179	NM_001257181
ENST00000392815	NM_001256068
ENST00000383168	NM_001317387
ENST00000383168	NM_001317384
ENST00000383168	NM_001650
ENST00000413632	NM_001145729
ENST00000644252	NM_001322941
ENST00000644252	NM_013352
ENST00000644252	NM_001322939
ENST00000644252	NM_001322937
ENST00000644252	NM_001322940
ENST00000644252	NM_001322938
ENST00000262803	NM_002911
ENST00000369248	NM_020940
ENST00000646710	NM_001322943
ENST00000581374	NM_004028
ENST00000379979	NM_001243658
ENST00000379979	NM_002064
ENST00000381641	NM_007179
ENST00000359564	NM_001322944
ENST00000369250	NM_001135051
ENST00000321731	NM_174978
ENST00000340958	NM_001305
ENST00000599848	NM_001297549
ENST00000368608	NM_003309
ENST00000446329	NM_152408
ENST00000328278	NM_001080478
ENST00000368606	NM_001276460
ENST00000327720	NM_007374
ENST00000282326	NM_182572
ENST00000310169	NM_017581
ENST00000370377	NM_031462
ENST00000368605	NM_001010919
ENST00000371674	NM_001032288
ENST00000371674	NM_001257395
ENST00000340309	NM_001257393
ENST00000340309	NM_021988
ENST00000340309	NM_001282575
ENST00000355149	NM_134445
ENST00000415862	NM_022442
ENST00000415862	NM_001257394
ENST00000466436	NM_134446
ENST00000371677	NM_199144
ENST00000217188	NM_080823
ENST00000263382	NM_018154
ENST00000453464	NM_001205252
ENST00000296824	NM_145265
ENST00000337714	NM_003488
ENST00000617605	NM_004048
ENST00000571629	NM_001242902
ENST00000620817	NM_006737
ENST00000618273	NM_001242867
ENST00000257627	NM_006188
ENST00000613030	NM_001242614
ENST00000297866	NM_152632
ENST00000437787	NM_001184808
ENST00000610598	NM_001291543
ENST00000380833	NM_001830
ENST00000607574	NM_001350994
ENST00000421085	NM_001256944
ENST00000427057	NM_001286522
ENST00000561011	NM_001289132
ENST00000611257	NM_001001417
ENST00000297873	NM_152559
ENST00000358005	NM_052849
ENST00000618297	NM_002255
ENST00000618297	NM_001080770
ENST00000228820	NM_020367
ENST00000376447	NM_152573
ENST00000416810	NM_001080792
ENST00000301729	NM_001919
ENST00000620669	NM_012314
ENST00000568584	NM_177987
ENST00000309863	NM_181453
ENST00000264864	NM_018323
ENST00000447133	NM_001286521
ENST00000558750	NM_001080791
ENST00000601773	NM_001329974
ENST00000397126	NM_007153
ENST00000378653	NM_001304548
ENST00000263196	NM_001184781
ENST00000263196	NM_005137
ENST00000562238	NM_001178029
ENST00000368648	NM_001005463
ENST00000325192	NM_001017923
ENST00000451657	NM_001308431
ENST00000625172	NM_001257398
ENST00000579973	NM_198991
ENST00000621116	NM_001242903
ENST00000557021	NM_001282579
ENST00000557021	NM_001282577
ENST00000557021	NM_001257399
ENST00000557021	NM_001282578
ENST00000557021	NM_001257397
ENST00000537045	NM_001173534
ENST00000537045	NM_001173533
ENST00000617119	NM_001282576
ENST00000395224	NM_004608
ENST00000408011	NM_001136205
ENST00000278765	NM_178312
ENST00000404406	NM_173565
ENST00000383763	NM_001039111
ENST00000335694	NM_178311
ENST00000382496	NM_003966
ENST00000612402	NM_139281
ENST00000580059	NM_001142730
ENST00000580191	NM_001258222
ENST00000276066	NM_001032726
ENST00000359114	NM_024313
ENST00000417602	NM_001258221
ENST00000330953	NM_005508
ENST00000296358	NM_177998
ENST00000344895	NM_033035
ENST00000611660	NM_001291535
ENST00000239316	NM_002195
ENST00000315588	NM_017592
ENST00000379706	NM_138551
ENST00000308159	NM_014669
ENST00000315765	NM_001098672
ENST00000265734	NM_001259
ENST00000341698	NM_199203
ENST00000383467	NM_001105581
ENST00000618847	NM_031422
ENST00000331162	NM_033273
ENST00000594368	NM_001317770
ENST00000424848	NM_001145306
ENST00000370873	NM_002792
ENST00000580774	NM_001256316
ENST00000254742	NM_032927
ENST00000620704	NM_001291540
ENST00000620704	NM_001321271
ENST00000382753	NM_001297552
ENST00000382753	NM_001297551
ENST00000342291	NM_013348
ENST00000609923	NM_001324313
ENST00000609923	NM_001324317
ENST00000609923	NM_152707
ENST00000609923	NM_001324312
ENST00000609923	NM_001324315
ENST00000609923	NM_001324314
ENST00000377905	NM_005495
ENST00000234454	NM_003124
ENST00000253381	NM_054112
ENST00000439485	NM_001286121
ENST00000611668	NM_001291528
ENST00000611668	NM_001291527
ENST00000617981	NM_001291529
ENST00000617981	NM_001291530
ENST00000410062	NM_006357
ENST00000602710	NM_001278554
ENST00000620224	NM_013239
ENST00000371652	NM_199129
ENST00000327876	NM_022055
ENST00000371650	NM_001162505
ENST00000359978	NM_001164530
ENST00000615837	NM_006840
ENST00000259351	NM_001322322
ENST00000259351	NM_001322321
ENST00000259351	NM_014636
ENST00000401053	NM_001164527
ENST00000401053	NM_007134
ENST00000401053	NM_001164529
ENST00000421967	NM_005793
ENST00000421967	NM_001308430
ENST00000359675	NM_022477
ENST00000643457	NM_001308428
ENST00000643457	NM_001308427
ENST00000606514	NM_001286259
ENST00000392415	NM_182678
ENST00000392415	NM_001278555
ENST00000410022	NM_001002755
ENST00000620290	NM_006178
ENST00000349004	NM_032013
ENST00000313434	NM_001289401
ENST00000456814	NM_030651
ENST00000619608	NM_001081442
ENST00000511556	NM_003436
ENST00000610568	NM_001304457
ENST00000237283	NM_182503
ENST00000415644	NM_001308435
ENST00000610764	NM_001081443
ENST00000442597	NM_001308426
ENST00000506786	NM_001289402
ENST00000373436	NM_001190730
ENST00000244513	NM_001732
ENST00000380996	NM_001297661
ENST00000374736	NM_005502
ENST00000447314	NM_001308434
ENST00000333256	NM_001297660
ENST00000333256	NM_005706
ENST00000333256	NM_001297658
ENST00000564887	NM_001242795
ENST00000435684	NM_001308433
ENST00000373434	NM_001190728
ENST00000561981	NM_014334
ENST00000370709	NM_018666
ENST00000381627	NM_134441
ENST00000416837	NM_005059
ENST00000424082	NM_001322323
ENST00000424082	NM_001322320
ENST00000424082	NM_001322324
ENST00000424082	NM_001322325
ENST00000424082	NM_001190729
ENST00000542526	NM_001242796
ENST00000451491	NM_001297659
ENST00000633913	NM_001004431
ENST00000452733	NM_004228
ENST00000230381	NM_000322
ENST00000338230	NM_198457
ENST00000338230	NM_001321867
ENST00000303698	NM_015700
ENST00000248071	NM_016270
ENST00000439696	NM_004926
ENST00000439696	NM_001244698
ENST00000378887	NM_001042631
ENST00000281741	NM_001160047
ENST00000281741	NM_020784
ENST00000389586	NM_182495
ENST00000262457	NM_014425
ENST00000262457	NM_001318382
ENST00000262457	NM_001318381
ENST00000394305	NM_001002756
ENST00000277541	NM_017617
ENST00000240727	NM_023926
ENST00000553375	NM_001244701
ENST00000617680	NM_001322168
ENST00000601144	NM_001145543
ENST00000427476	NM_017457
ENST00000264161	NM_001293312
ENST00000264161	NM_001349
ENST00000421612	NM_001145544
ENST00000373425	NM_012098
ENST00000258106	NM_004097
ENST00000600404	NM_001145542
ENST00000248378	NM_031298
ENST00000397133	NM_001014764
ENST00000225525	NM_014604
ENST00000611779	NM_001204698
ENST00000382004	NM_134428
ENST00000358730	NM_002919
ENST00000435504	NM_018263
ENST00000332826	NM_001012302
ENST00000343470	NM_017816
ENST00000367591	NM_003630
ENST00000011653	NM_001195015
ENST00000011653	NM_001195017
ENST00000011653	NM_000616
ENST00000011653	NM_001195016
ENST00000011653	NM_001195014
ENST00000452476	NM_001145725
ENST00000320531	NM_182504
ENST00000441959	NM_130463
ENST00000411749	NM_002121
ENST00000358543	NM_207413
ENST00000443657	NM_001204078
ENST00000272645	NM_004805
ENST00000617270	NM_001282116
ENST00000469771	NM_138282
ENST00000302303	NM_001282117
ENST00000473997	NM_001278169
ENST00000194530	NM_018571
ENST00000421209	NM_001011700
ENST00000253237	NM_031485
ENST00000299443	NM_174981
ENST00000457749	NM_006969
ENST00000252575	NM_004386
ENST00000637128	NM_001355042
ENST00000002165	NM_032020
ENST00000620201	NM_001143993
ENST00000616310	NM_014218
ENST00000392249	NM_001206864
ENST00000373051	NM_001300804
ENST00000346416	NM_016082
ENST00000346416	NM_001278167
ENST00000346416	NM_016408
ENST00000372264	NM_032728
ENST00000518127	NM_001204857
ENST00000518127	NM_001204860
ENST00000392328	NM_017694
ENST00000339269	NM_001278168
ENST00000622100	NM_003475
ENST00000241014	NM_005456
ENST00000230321	NM_001300806
ENST00000230321	NM_005586
ENST00000622905	NM_001143994
ENST00000266066	NM_003015
ENST00000595646	NM_001008801
ENST00000373050	NM_001300805
ENST00000520210	NM_001204863
ENST00000520210	NM_001204864
ENST00000443117	NM_001242524
ENST00000443117	NM_033554
ENST00000443117	NM_001242525
ENST00000269373	NM_024619
ENST00000243639	NM_001277120
ENST00000254108	NM_001170937
ENST00000254108	NM_004960
ENST00000337872	NM_001330625
ENST00000337872	NM_145291
ENST00000391781	NM_001351773
ENST00000391781	NM_207333
ENST00000374403	NM_012310
ENST00000520242	NM_001204859
ENST00000520242	NM_001204858
ENST00000520242	NM_005648
ENST00000272067	NM_007099
ENST00000220597	NM_018440
ENST00000523815	NM_001204861
ENST00000311764	NM_001184751
ENST00000311764	NM_024741
ENST00000622804	NM_001204862
ENST00000263126	NM_001818
ENST00000376321	NM_153289
ENST00000409150	NM_001142645
ENST00000376315	NM_001271209
ENST00000376315	NM_153323
ENST00000272065	NM_004300
ENST00000611696	NM_024830
ENST00000372627	NM_032926
ENST00000407983	NM_001040649
ENST00000239666	NM_016484
ENST00000361577	NM_015091
ENST00000243286	NM_001006933
ENST00000248450	NM_001087
ENST00000334379	NM_001031712
ENST00000372626	NM_001006640
ENST00000254043	NM_002275
ENST00000357666	NM_001031665
ENST00000361462	NM_001308120
ENST00000444053	NM_001302545
ENST00000372625	NM_001006639
ENST00000372625	NM_004780
ENST00000444460	NM_001202456
ENST00000444460	NM_001202457
ENST00000380244	NM_001170634
ENST00000327283	NM_080422
ENST00000248072	NM_012377
ENST00000240652	NM_001329201
ENST00000240652	NM_000415
ENST00000503781	NM_022068
ENST00000638862	NM_001310127
ENST00000396268	NM_001105564
ENST00000591115	NM_001207013
ENST00000376862	NM_001323607
ENST00000376862	NM_024893
ENST00000376862	NM_001323606
ENST00000258169	NM_005792
ENST00000396128	NM_017658
ENST00000353319	NM_080423
ENST00000355081	NM_001308112
ENST00000341189	NM_016607
ENST00000616241	NM_176795
ENST00000610977	NM_001318054
ENST00000610977	NM_001130442
ENST00000610977	NM_005343
ENST00000406386	NM_001039141
ENST00000471229	NM_177947
ENST00000309660	NM_002828
ENST00000591497	NM_001308287
ENST00000354193	NM_001320342
ENST00000354193	NM_001320341
ENST00000354193	NM_148893
ENST00000332624	NM_015049
ENST00000537169	NM_177948
ENST00000292574	NM_173482
ENST00000533774	NM_001320340
ENST00000532798	NM_001195637
ENST00000403663	NM_007032
ENST00000646328	NM_138632
ENST00000524115	NM_152568
ENST00000391777	NM_001202473
ENST00000602168	NM_152473
ENST00000227638	NM_015368
ENST00000631948	NM_014963
ENST00000621319	NM_173573
ENST00000283206	NM_032824
ENST00000622719	NM_001100122
ENST00000376312	NM_001171832
ENST00000335670	NM_134261
ENST00000376314	NM_001011878
ENST00000305783	NM_016125
ENST00000373644	NM_030625
ENST00000309157	NM_002943
ENST00000316715	NM_001001995
ENST00000261523	NM_134260
ENST00000570137	NM_152342
ENST00000454189	NM_001318729
ENST00000454189	NM_001001994
ENST00000301825	NM_001248
ENST00000456402	NM_001291960
ENST00000449337	NM_134262
ENST00000355135	NM_001001996
ENST00000445129	NM_001291961
ENST00000632301	NM_001202504
ENST00000632301	NM_048368
ENST00000632301	NM_001318511
ENST00000632301	NM_004715
ENST00000595635	NM_001351774
ENST00000595635	NM_001351775
ENST00000595635	NM_001351776
ENST00000356942	NM_005278
ENST00000215832	NM_002745
ENST00000307378	NM_021094
ENST00000307378	NM_134431
ENST00000221742	NM_005071
ENST00000311713	NM_001307977
ENST00000398822	NM_138957
ENST00000611111	NM_198075
ENST00000529106	NM_018093
ENST00000321662	NM_001099652
ENST00000414933	NM_006411
ENST00000376266	NM_019052
ENST00000480798	NM_003650
ENST00000510636	NM_001171976
ENST00000333437	NM_207459
ENST00000307078	NM_004655
ENST00000261944	NM_017675
ENST00000621226	NM_001304359
ENST00000379958	NM_017654
ENST00000328788	NM_001244962
ENST00000456679	NM_032741
ENST00000598504	NM_001272087
ENST00000225823	NM_183377
ENST00000620985	NM_001193307
ENST00000544886	NM_001272088
ENST00000359872	NM_001094
ENST00000272223	NM_145260
ENST00000303991	NM_052899
ENST00000616347	NM_030753
ENST00000313135	NM_018949
ENST00000614792	NM_015868
ENST00000451521	NM_001105563
ENST00000276708	NM_031415
ENST00000416695	NM_001136238
ENST00000342462	NM_001039770
ENST00000372390	NM_001015881
ENST00000344041	NM_012294
ENST00000597629	NM_003407
ENST00000321728	NM_212535
ENST00000337132	NM_018090
ENST00000322734	NM_173658
ENST00000369886	NM_080621
ENST00000284425	NM_080284
ENST00000457722	NM_001145278
ENST00000340736	NM_001008701
ENST00000617444	NM_001290264
ENST00000361434	NM_014921
ENST00000373344	NM_000489
ENST00000619613	NM_014629
ENST00000643927	NM_002738
ENST00000312397	NM_005146
ENST00000619074	NM_153443
ENST00000611123	NM_001110781
ENST00000443980	NM_001145277
ENST00000311907	NM_001311257
ENST00000311907	NM_000506
ENST00000631758	NM_001308152
ENST00000395603	NM_138270
ENST00000372397	NM_004089
ENST00000376434	NM_001244961
ENST00000633616	NM_001308153
ENST00000383759	NM_015873
ENST00000265333	NM_003374
ENST00000221403	NM_014475
ENST00000403712	NM_001159597
ENST00000315660	NM_001318468
ENST00000372383	NM_198057
ENST00000376309	NM_153324
ENST00000372384	NM_001318470
ENST00000407004	NM_001137673
ENST00000376438	NM_001244959
ENST00000347055	NM_016618
ENST00000347055	NM_001304526
ENST00000309447	NM_001144990
ENST00000304195	NM_174938
ENST00000551178	NM_175080
ENST00000547178	NM_001204519
ENST00000331244	NM_001321980
ENST00000331244	NM_006541
ENST00000621208	NM_001244960
ENST00000589998	NM_004516
ENST00000344387	NM_006991
ENST00000380950	NM_001194998
ENST00000368644	NM_001199868
ENST00000399334	NM_014985
ENST00000383745	NM_001351734
ENST00000383745	NM_001351735
ENST00000383745	NM_001323294
ENST00000383745	NM_001024855
ENST00000328458	NM_001199206
ENST00000535342	NM_001353129
ENST00000535342	NM_001199165
ENST00000225328	NM_002561
ENST00000250241	NM_153464
ENST00000317442	NM_001037325
ENST00000345901	NM_001204520
ENST00000590261	NM_012218
ENST00000537949	NM_001302891
ENST00000443572	NM_001272042
ENST00000330964	NM_015920
ENST00000406116	NM_001272043
ENST00000446827	NM_017530
ENST00000446827	NM_001318239
ENST00000201979	NM_014012
ENST00000225577	NM_003161
ENST00000225577	NM_001272060
ENST00000392769	NM_001353127
ENST00000449870	NM_017620
ENST00000337221	NM_182826
ENST00000396056	NM_003420
ENST00000565601	NM_001201553
ENST00000317676	NM_001037500
ENST00000393021	NM_001272044
ENST00000301904	NM_016240
ENST00000394464	NM_001204263
ENST00000394464	NM_001204261
ENST00000394464	NM_001204259
ENST00000394464	NM_001204262
ENST00000394464	NM_001204258
ENST00000394464	NM_001204264
ENST00000394464	NM_000176
ENST00000394464	NM_001204260
ENST00000415690	NM_001020825
ENST00000372188	NM_001243779
ENST00000422154	NM_001142425
ENST00000422154	NM_001142424
ENST00000422154	NM_001142418
ENST00000422154	NM_012286
ENST00000422154	NM_001142423
ENST00000422154	NM_001142429
ENST00000244230	NM_005791
ENST00000261893	NM_032857
ENST00000313565	NM_001201554
ENST00000320585	NM_012124
ENST00000433176	NM_001142428
ENST00000433176	NM_001142420
ENST00000433176	NM_001142427
ENST00000433176	NM_001142431
ENST00000433176	NM_001142421
ENST00000433176	NM_001142419
ENST00000433176	NM_001142422
ENST00000433176	NM_001142432
ENST00000451301	NM_001142426
ENST00000451301	NM_001142430
ENST00000611294	NM_001318238
ENST00000611294	NM_001201556
ENST00000425432	NM_001201552
ENST00000413507	NM_001288585
ENST00000413507	NM_171846
ENST00000206262	NM_012419
ENST00000233099	NM_019024
ENST00000231509	NM_001024094
ENST00000372185	NM_001243781
ENST00000372876	NM_003192
ENST00000503201	NM_001018076
ENST00000241052	NM_001752
ENST00000615554	NM_001243780
ENST00000615554	NM_032333
ENST00000372187	NM_001243778
ENST00000372187	NM_001243782
ENST00000380586	NM_001322503
ENST00000380586	NM_033303
ENST00000378043	NM_001300787
ENST00000378043	NM_001300786
ENST00000378043	NM_004183
ENST00000380582	NM_033302
ENST00000243673	NM_016540
ENST00000354550	NM_033304
ENST00000343796	NM_001018077
ENST00000343796	NM_001018074
ENST00000343796	NM_001018075
ENST00000456476	NM_080598
ENST00000380573	NM_000680
ENST00000620267	NM_181536
ENST00000457199	NM_001144073
ENST00000307363	NM_001317040
ENST00000307363	NM_000404
ENST00000380572	NM_001322504
ENST00000381980	NM_001104629
ENST00000284437	NM_018302
ENST00000424646	NM_001204265
ENST00000399402	NM_001079811
ENST00000307599	NM_152413
ENST00000449131	NM_001139443
ENST00000375295	NM_007293
ENST00000307377	NM_001135602
ENST00000379608	NM_001032280
ENST00000046640	NM_004937
ENST00000439648	NM_000434
ENST00000381870	NM_001031681
ENST00000283109	NM_018343
ENST00000502583	NM_001170692
ENST00000508447	NM_001159749
ENST00000338957	NM_001010888
ENST00000394168	NM_015349
ENST00000415689	NM_004640
ENST00000614467	NM_001318819
ENST00000314117	NM_001085399
ENST00000626873	NM_001282687
ENST00000454158	NM_001085400
ENST00000296742	NM_205864
ENST00000407008	NM_016231
ENST00000567955	NM_001194958
ENST00000319516	NM_001042425
ENST00000619537	NM_001314050
ENST00000338150	NM_001170693
ENST00000482890	NM_003220
ENST00000624932	NM_001320719
ENST00000373783	NM_032804
ENST00000274382	NM_153234
ENST00000299084	NM_152594
ENST00000532090	NM_138368
ENST00000546746	NM_001252204
ENST00000377575	NM_006353
ENST00000303400	NM_001017405
ENST00000303400	NM_001297430
ENST00000300784	NM_022158
ENST00000298746	NM_139169
ENST00000377113	NM_001010911
ENST00000408965	NM_005195
ENST00000505697	NM_001178055
ENST00000273550	NM_002032
ENST00000621716	NM_001044
ENST00000375094	NM_006913
ENST00000378875	NM_198867
ENST00000378875	NM_032878
ENST00000379834	NM_031480
ENST00000335987	NM_004561
ENST00000216373	NM_006939
ENST00000261254	NM_001759
ENST00000356150	NM_015677
ENST00000252984	NM_001297701
ENST00000431636	NM_001288591
ENST00000264750	NM_005882
ENST00000341840	NM_025169
ENST00000242480	NM_001136177
ENST00000242480	NM_000399
ENST00000264874	NM_153005
ENST00000403658	NM_001282682
ENST00000514708	NM_001297431
ENST00000411732	NM_001321037
ENST00000411732	NM_001136179
ENST00000273320	NM_018651
ENST00000273320	NM_001288590
ENST00000246891	NM_001890
ENST00000507763	NM_001025104
ENST00000510794	NM_001297432
ENST00000447279	NM_001288592
ENST00000439032	NM_001136178
ENST00000505839	NM_001297433
ENST00000304734	NM_198486
ENST00000617836	NM_001142594
ENST00000289416	NM_005622
ENST00000309982	NM_024812
ENST00000440284	NM_202000
ENST00000614271	NM_014216
ENST00000614271	NM_001142593
ENST00000438105	NM_001024372
ENST00000284292	NM_001126181
ENST00000284292	NM_006176
ENST00000217456	NM_020531
ENST00000355819	NM_207345
ENST00000242209	NM_007270
ENST00000374566	NM_019114
ENST00000614883	NM_171999
ENST00000374557	NM_018424
ENST00000266079	NM_012469
ENST00000414092	NM_005510
ENST00000559275	NM_001310332
ENST00000414356	NM_138717
ENST00000324103	NM_017999
ENST00000326621	NM_014312
ENST00000645694	NM_005982
ENST00000403470	NM_001329920
ENST00000374706	NM_181698
ENST00000538336	NM_001284341
ENST00000490776	NM_001284343
ENST00000374704	NM_145012
ENST00000272238	NM_001039362
ENST00000522566	NM_001164615
ENST00000381661	NM_144583
ENST00000238497	NM_004869
ENST00000353151	NM_001302770
ENST00000353151	NM_001891
ENST00000265375	NM_001282854
ENST00000265375	NM_001282853
ENST00000324068	NM_014289
ENST00000339497	NM_001282852
ENST00000281631	NM_001331028
ENST00000281631	NM_024615
ENST00000324444	NM_001039876
ENST00000523739	NM_001317796
ENST00000523739	NM_001164616
ENST00000374369	NM_000557
ENST00000374372	NM_001319138
ENST00000514067	NM_001178056
ENST00000358755	NM_003506
ENST00000552922	NM_001204103
ENST00000552922	NM_005155
ENST00000373953	NM_003427
ENST00000374375	NM_001355428
ENST00000339411	NM_001292032
ENST00000598312	NM_024620
ENST00000513104	NM_020389
ENST00000340477	NM_001297735
ENST00000300005	NM_080663
ENST00000426802	NM_004197
ENST00000452688	NM_032454
ENST00000345060	NM_000025
ENST00000399788	NM_001042603
ENST00000375618	NM_001100388
ENST00000378459	NM_001167577
ENST00000332814	NM_207430
ENST00000242784	NM_001329739
ENST00000242784	NM_024038
ENST00000250489	NM_144568
ENST00000352189	NM_001167576
ENST00000277746	NM_030759
ENST00000375533	NM_012342
ENST00000435510	NM_001282405
ENST00000457111	NM_001025091
ENST00000264932	NM_004168
ENST00000244763	NM_003144
ENST00000452530	NM_001090
ENST00000398020	NM_001100814
ENST00000357967	NM_001142725
ENST00000302797	NM_147199
ENST00000300835	NM_024031
ENST00000250498	NM_001344
ENST00000262901	NM_005068
ENST00000373960	NM_001927
ENST00000287675	NM_005107
ENST00000542965	NM_001320464
ENST00000489567	NM_001292008
ENST00000396864	NM_006084
ENST00000381337	NM_001304550
ENST00000381337	NM_017736
ENST00000594947	NM_033468
ENST00000594947	NM_001316996
ENST00000594947	NM_001316997
ENST00000278927	NM_138961
ENST00000450526	NM_030652
ENST00000510361	NM_001294332
ENST00000422077	NM_001318954
ENST00000422077	NM_001318957
ENST00000422077	NM_001145464
ENST00000422077	NM_001318959
ENST00000422077	NM_001318955
ENST00000422077	NM_001318958
ENST00000422077	NM_001318956
ENST00000261292	NM_006033
ENST00000427224	NM_001308006
ENST00000341700	NM_004297
ENST00000334456	NM_002599
ENST00000340356	NM_018419
ENST00000533290	NM_001318718
ENST00000418929	NM_020719
ENST00000428304	NM_022060
ENST00000430070	NM_001318720
ENST00000430070	NM_001318717
ENST00000430070	NM_018095
ENST00000430070	NM_001318719
ENST00000345617	NM_006037
ENST00000395288	NM_001318721
ENST00000395288	NM_016506
ENST00000395288	NM_001318716
ENST00000395288	NM_001318724
ENST00000395288	NM_001318722
ENST00000395288	NM_001318725
ENST00000395288	NM_001318723
ENST00000297293	NM_014916
ENST00000302259	NM_001001711
ENST00000360689	NM_178155
ENST00000325307	NM_001301229
ENST00000325307	NM_005342
ENST00000325307	NM_001301231
ENST00000394586	NM_178156
ENST00000448905	NM_001301228
ENST00000400588	NM_001037814
ENST00000393158	NM_025208
ENST00000302251	NM_033135
ENST00000252137	NM_022719
ENST00000557164	NM_004480
ENST00000357304	NM_013318
ENST00000544570	NM_001143839
ENST00000338825	NM_004095
ENST00000240651	NM_024854
ENST00000540345	NM_001146209
ENST00000357179	NM_001282112
ENST00000357179	NM_001282113
ENST00000399635	NM_053006
ENST00000283921	NM_018951
ENST00000357332	NM_004317
ENST00000398793	NM_001349845
ENST00000398793	NM_003935
ENST00000540180	NM_001130148
ENST00000370597	NM_018058
ENST00000216802	NM_002818
ENST00000409304	NM_001136528
ENST00000343483	NM_152739
ENST00000258405	NM_006216
ENST00000370591	NM_001206528
ENST00000444035	NM_001243784
ENST00000233146	NM_000251
ENST00000610558	NM_001281972
ENST00000610558	NM_001281971
ENST00000370602	NM_001010917
ENST00000447280	NM_001136530
ENST00000543587	NM_001278486
ENST00000543587	NM_001278485
ENST00000399332	NM_015382
ENST00000239830	NM_032358
ENST00000543555	NM_001258281
ENST00000227618	NM_014042
ENST00000412006	NM_001130146
ENST00000581784	NM_173092
ENST00000542531	NM_001278492
ENST00000542531	NM_001278493
ENST00000542531	NM_001278491
ENST00000535234	NM_001278489
ENST00000422000	NM_001130147
ENST00000545944	NM_001278490
ENST00000538393	NM_001278487
ENST00000585809	NM_024100
ENST00000535503	NM_001278488
ENST00000314672	NM_001278919
